ID,X,Y,W,H,C_X,CY
0,440,12,10,10,445,17
1,390,13,22,22,401,24
2,92,17,22,22,103,28
3,2,40,9,9,6,45
4,84,64,17,17,93,73
5,300,80,10,10,305,85
6,172,84,11,11,177,89
7,634,103,18,18,643,112
8,224,104,23,23,236,115
9,503,142,8,8,507,146
10,616,138,11,11,622,144
11,742,134,23,23,754,145
12,678,151,8,8,682,155
13,789,161,10,10,794,166
14,132,170,8,8,136,174
15,358,192,20,20,368,202
16,160,204,11,11,165,209
17,132,197,20,20,142,207
18,565,229,10,10,570,234
19,607,228,12,12,613,234
20,366,286,8,8,370,290
21,372,298,9,9,377,302
22,42,306,9,9,46,310
23,457,309,8,8,461,313
24,274,372,9,9,278,377
26,269,415,8,8,273,419
27,96,416,10,10,101,421
28,668,424,9,9,673,428
29,69,450,8,8,73,454
30,152,454,22,22,163,465
31,116,475,8,8,120,479
33,580,502,8,8,584,506
35,194,510,8,8,198,514
36,127,496,22,22,138,507
37,325,531,8,8,329,535
39,686,545,8,8,690,549
40,778,548,11,11,784,553
41,66,567,20,20,76,577
42,152,580,9,9,157,585
43,362,574,16,16,370,582
44,495,576,20,20,505,586
45,605,594,8,8,609,598
46,20,599,8,8,24,603
47,144,604,23,23,156,616
48,348,628,9,9,353,633
49,514,639,8,8,518,643
50,207,642,8,8,211,646
51,461,633,18,18,470,642
52,452,642,9,9,456,646
53,125,646,8,8,129,650
55,726,669,8,8,730,673
56,353,661,24,24,365,673
57,410,684,9,9,414,689
58,490,685,10,10,495,690
59,613,691,8,8,617,695
60,58,703,8,8,62,707
61,544,695,20,20,554,705
62,115,708,10,10,120,713
63,340,698,23,23,352,710
64,550,735,8,8,554,739
65,712,740,9,9,716,745
66,182,734,17,17,190,742
67,364,742,9,9,368,746
68,343,740,16,16,351,748
69,284,770,9,9,288,775
70,400,765,18,18,409,774
71,144,788,10,10,149,793
72,38,44,11,11,43,50
73,8,34,10,10,13,39
74,47,43,12,12,53,49
75,141,35,8,8,145,39
76,169,38,10,10,174,43
77,376,107,10,10,381,112
